territorio,fecha,factor_1_sube,factor_2_sube,factor_3_sube,factor_1_sube_valor,factor_2_sube_valor,factor_3_sube_valor,factor_1_baja,factor_2_baja,factor_3_baja,factor_1_baja_valor,factor_2_baja_valor,factor_3_baja_valor
Santa Brígida,2025-12-01,Estacionalidad,Tasa de reserva,Pernoctaciones,0.0016766079,0.0007069234,0.000603785,Inercia de la presión,Plazas hotel/día,Estancia media hotel,-0.11494111,-0.00042015034705400467,-0.00020193112140987068
Santa Cruz de La Palma,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.0017003142,0.00073322497,0.00047900752,Inercia de la presión,Plazas hotel/día,Viajeros alojados,-0.12995753,-0.0005028175073675811,-0.0003841760044451803
Santa Cruz de Tenerife,2025-12-01,Estacionalidad,Plazas hotel/día,Pernoctaciones,0.0014299469,0.0004032622,0.0002750035,Inercia de la presión,Estancia media hotel,Viajeros entrados,-0.13316388,-0.0005413420149125159,-0.000385966501198709
Santa Lucía de Tirajana,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.0016007739,0.000538136,0.0005052057,Inercia de la presión,Plazas hotel/día,Estancia media hotel,-0.13525786,-0.0004041690845042467,-0.00023849602439440787
Santa María de Guía de Gran Canaria,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.0018223459,0.00058262644,0.0005471696,Inercia de la presión,Plazas hotel/día,Idx ancianidad,-0.109378375,-0.0004197332891635597,-0.0003024166217073798
Santa Úrsula,2025-12-01,Estacionalidad,Plazas hotel/día,Tasa de reserva,0.0024525262,0.0007128622,0.00019565762,Inercia de la presión,Pernoctaciones,Estancia media VV,-0.055746626,-0.0005379542126320302,-0.0003676537307910621
Santiago del Teide,2025-12-01,Inercia de la presión,Estacionalidad,Tasa de reserva,0.17741178,0.0034198312,0.0007414535,Viajeros entrados,Idx ancianidad,Pernoctaciones,-0.0009477015,-0.0008818554924800992,-0.0007245808374136686
Tacoronte,2025-12-01,Estacionalidad,Plazas hotel/día,VV reservadas,0.0018411194,0.0007438258,7.388218e-05,Inercia de la presión,Pernoctaciones,Idx ancianidad,-0.08997907,-0.0003816686512436718,-0.00037470823735930026
Tazacorte,2025-12-01,Estacionalidad,Pernoctaciones,Estancia media hotel,0.0016566911,0.0009386068,0.0006739069,Inercia de la presión,Plazas hotel/día,Viajeros alojados,-0.116766654,-0.0005863434635102749,-0.00027449510525912046
Tegueste,2025-12-01,Estacionalidad,Tasa de reserva,Plazas hotel/día,0.0028463113,0.0012394075,0.0007011592,Inercia de la presión,Pernoctaciones,Idx ancianidad,-0.027606335,-0.0006682523526251316,-0.000348698697052896
Teguise,2025-12-01,Inercia de la presión,Estacionalidad,Ingresos,0.19027707,0.003097841,0.0010643263,Viajeros entrados,Tasa de reserva,Pernoctaciones,-0.0006736855,-0.000611967290751636,-0.0004543359682429582
Tejeda,2025-12-01,Inercia de la presión,Estacionalidad,Viajeros entrados,0.11764782,0.0042324737,0.001463799,Idx dep menores 15,Plazas hotel/día,Estancia media hotel,-0.00068200735,-0.0005137433181516826,-0.0004568941949401051
Telde,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.0016543779,0.000519858,0.00051169493,Inercia de la presión,Plazas hotel/día,Estancia media hotel,-0.13490734,-0.00042015034705400467,-0.0002697827876545489
